"DTXSID","name","product_name","general_category","product_type","minimum_weight_fraction","maximum_weight_fraction","reported_functional_use","harmonized_medium","reported_species","description","detected"
"DTXSID2021995","usgs_groundwater","11830-2-3 off! skintastic",NA,NA,NA,NA,"SKINPROTECTING","landfill leachate",NA,NA,57
"DTXSID2021995","usgs_groundwater","11830-2-3 off! skintastic",NA,NA,NA,NA,"SKINPROTECTING","other-environmental",NA,NA,12
"DTXSID2021995","usgs_groundwater","11830-2-3 off! skintastic",NA,NA,NA,NA,"SKINPROTECTING","surface water",NA,NA,54
"DTXSID2021995","usgs_groundwater","11834-1-3 off! skintastic_fragrance free",NA,NA,NA,NA,"active ingredient","drinking water",NA,NA,14
"DTXSID2021995","usgs_groundwater","11834-1-3 off! skintastic_fragrance free",NA,NA,NA,NA,"active ingredient","groundwater",NA,NA,88
"DTXSID2021995","usgs_groundwater","11834-1-3 off! skintastic_fragrance free",NA,NA,NA,NA,"active ingredient","landfill leachate",NA,NA,19
"DTXSID2021995","usgs_groundwater","11834-1-3 off! skintastic_fragrance free",NA,NA,NA,NA,"active ingredient","other-environmental",NA,NA,4
"DTXSID2021995","usgs_groundwater","11834-1-3 off! skintastic_fragrance free",NA,NA,NA,NA,"active ingredient","surface water",NA,NA,18
"DTXSID2021995","usgs_groundwater","11834-1-3 off! skintastic_fragrance free",NA,NA,NA,NA,"SKINPROTECTING","drinking water",NA,NA,14
"DTXSID2021995","usgs_groundwater","11834-1-3 off! skintastic_fragrance free",NA,NA,NA,NA,"SKINPROTECTING","groundwater",NA,NA,88
"DTXSID2021995","usgs_groundwater","11834-1-3 off! skintastic_fragrance free",NA,NA,NA,NA,"SKINPROTECTING","landfill leachate",NA,NA,19
"DTXSID2021995","usgs_groundwater","11834-1-3 off! skintastic_fragrance free",NA,NA,NA,NA,"SKINPROTECTING","other-environmental",NA,NA,4
"DTXSID2021995","usgs_groundwater","11834-1-3 off! skintastic_fragrance free",NA,NA,NA,NA,"SKINPROTECTING","surface water",NA,NA,18
"DTXSID2021995","usgs_groundwater","11840-15 deep woods off! insect repellent ii",NA,NA,NA,NA,"active ingredient","drinking water",NA,NA,14
"DTXSID2021995","usgs_groundwater","11840-15 deep woods off! insect repellent ii",NA,NA,NA,NA,"active ingredient","groundwater",NA,NA,88
"DTXSID2021995","usgs_groundwater","11840-15 deep woods off! insect repellent ii",NA,NA,NA,NA,"active ingredient","landfill leachate",NA,NA,19
"DTXSID2021995","usgs_groundwater","11840-15 deep woods off! insect repellent ii",NA,NA,NA,NA,"active ingredient","other-environmental",NA,NA,4
"DTXSID2021995","usgs_groundwater","11840-15 deep woods off! insect repellent ii",NA,NA,NA,NA,"active ingredient","surface water",NA,NA,18
"DTXSID2021995","usgs_groundwater","11840-15 deep woods off! insect repellent ii",NA,NA,NA,NA,"SKINPROTECTING","drinking water",NA,NA,14
"DTXSID2021995","usgs_groundwater","11840-15 deep woods off! insect repellent ii",NA,NA,NA,NA,"SKINPROTECTING","groundwater",NA,NA,88
"DTXSID2021995","usgs_groundwater","11840-15 deep woods off! insect repellent ii",NA,NA,NA,NA,"SKINPROTECTING","landfill leachate",NA,NA,19
"DTXSID2021995","usgs_groundwater","11840-15 deep woods off! insect repellent ii",NA,NA,NA,NA,"SKINPROTECTING","other-environmental",NA,NA,4
"DTXSID2021995","usgs_groundwater","11840-15 deep woods off! insect repellent ii",NA,NA,NA,NA,"SKINPROTECTING","surface water",NA,NA,18
"DTXSID2021995","usgs_groundwater","121-18 cutter insect repellent stick","Pesticides","insect repellent - skin",NA,NA,"active ingredient","drinking water",NA,"products for repelling insects from skin",14
"DTXSID2021995","usgs_groundwater","121-18 cutter insect repellent stick","Pesticides","insect repellent - skin",NA,NA,"active ingredient","groundwater",NA,"products for repelling insects from skin",88
"DTXSID2021995","usgs_groundwater","121-18 cutter insect repellent stick","Pesticides","insect repellent - skin",NA,NA,"active ingredient","landfill leachate",NA,"products for repelling insects from skin",19
"DTXSID2021995","usgs_groundwater","121-18 cutter insect repellent stick","Pesticides","insect repellent - skin",NA,NA,"active ingredient","other-environmental",NA,"products for repelling insects from skin",4
"DTXSID2021995","usgs_groundwater","121-18 cutter insect repellent stick","Pesticides","insect repellent - skin",NA,NA,"active ingredient","surface water",NA,"products for repelling insects from skin",18
"DTXSID2021995","usgs_groundwater","121-18 cutter insect repellent stick","Pesticides","insect repellent - skin",NA,NA,"SKINPROTECTING","drinking water",NA,"products for repelling insects from skin",14
"DTXSID2021995","usgs_groundwater","121-18 cutter insect repellent stick","Pesticides","insect repellent - skin",NA,NA,"SKINPROTECTING","groundwater",NA,"products for repelling insects from skin",88
"DTXSID2021995","usgs_groundwater","121-18 cutter insect repellent stick","Pesticides","insect repellent - skin",NA,NA,"SKINPROTECTING","landfill leachate",NA,"products for repelling insects from skin",19
"DTXSID2021995","usgs_groundwater","121-18 cutter insect repellent stick","Pesticides","insect repellent - skin",NA,NA,"SKINPROTECTING","other-environmental",NA,"products for repelling insects from skin",4
"DTXSID2021995","usgs_groundwater","121-18 cutter insect repellent stick","Pesticides","insect repellent - skin",NA,NA,"SKINPROTECTING","surface water",NA,"products for repelling insects from skin",18
"DTXSID2021995","usgs_groundwater","121-33_ cutter unscented insect repellant (supdat)","Pesticides","insect repellent - skin",NA,NA,"active ingredient","drinking water",NA,"products for repelling insects from skin",14
"DTXSID2021995","usgs_groundwater","121-33_ cutter unscented insect repellant (supdat)","Pesticides","insect repellent - skin",NA,NA,"active ingredient","groundwater",NA,"products for repelling insects from skin",88
"DTXSID2021995","usgs_groundwater","121-33_ cutter unscented insect repellant (supdat)","Pesticides","insect repellent - skin",NA,NA,"active ingredient","landfill leachate",NA,"products for repelling insects from skin",19
"DTXSID2021995","usgs_groundwater","121-33_ cutter unscented insect repellant (supdat)","Pesticides","insect repellent - skin",NA,NA,"active ingredient","other-environmental",NA,"products for repelling insects from skin",4
"DTXSID2021995","usgs_groundwater","121-33_ cutter unscented insect repellant (supdat)","Pesticides","insect repellent - skin",NA,NA,"active ingredient","surface water",NA,"products for repelling insects from skin",18
"DTXSID2021995","usgs_groundwater","121-33_ cutter unscented insect repellant (supdat)","Pesticides","insect repellent - skin",NA,NA,"SKINPROTECTING","drinking water",NA,"products for repelling insects from skin",14
"DTXSID2021995","usgs_groundwater","121-33_ cutter unscented insect repellant (supdat)","Pesticides","insect repellent - skin",NA,NA,"SKINPROTECTING","groundwater",NA,"products for repelling insects from skin",88
"DTXSID2021995","usgs_groundwater","121-33_ cutter unscented insect repellant (supdat)","Pesticides","insect repellent - skin",NA,NA,"SKINPROTECTING","landfill leachate",NA,"products for repelling insects from skin",19
"DTXSID2021995","usgs_groundwater","121-33_ cutter unscented insect repellant (supdat)","Pesticides","insect repellent - skin",NA,NA,"SKINPROTECTING","other-environmental",NA,"products for repelling insects from skin",4
"DTXSID2021995","usgs_groundwater","121-33_ cutter unscented insect repellant (supdat)","Pesticides","insect repellent - skin",NA,NA,"SKINPROTECTING","surface water",NA,"products for repelling insects from skin",18
"DTXSID2021995","usgs_groundwater","121-34_ cutter unscented insect repellent (supdat)","Pesticides","insect repellent - skin",NA,NA,"active ingredient","drinking water",NA,"products for repelling insects from skin",14
"DTXSID2021995","usgs_groundwater","121-34_ cutter unscented insect repellent (supdat)","Pesticides","insect repellent - skin",NA,NA,"active ingredient","groundwater",NA,"products for repelling insects from skin",88
"DTXSID2021995","usgs_groundwater","121-34_ cutter unscented insect repellent (supdat)","Pesticides","insect repellent - skin",NA,NA,"active ingredient","landfill leachate",NA,"products for repelling insects from skin",19
"DTXSID2021995","usgs_groundwater","121-34_ cutter unscented insect repellent (supdat)","Pesticides","insect repellent - skin",NA,NA,"active ingredient","other-environmental",NA,"products for repelling insects from skin",4
"DTXSID2021995","usgs_groundwater","121-34_ cutter unscented insect repellent (supdat)","Pesticides","insect repellent - skin",NA,NA,"active ingredient","surface water",NA,"products for repelling insects from skin",18
"DTXSID2021995","usgs_groundwater","121-34_ cutter unscented insect repellent (supdat)","Pesticides","insect repellent - skin",NA,NA,"SKINPROTECTING","drinking water",NA,"products for repelling insects from skin",14
"DTXSID2021995","usgs_groundwater","121-34_ cutter unscented insect repellent (supdat)","Pesticides","insect repellent - skin",NA,NA,"SKINPROTECTING","groundwater",NA,"products for repelling insects from skin",88
"DTXSID2021995","usgs_groundwater","121-34_ cutter unscented insect repellent (supdat)","Pesticides","insect repellent - skin",NA,NA,"SKINPROTECTING","landfill leachate",NA,"products for repelling insects from skin",19
"DTXSID2021995","usgs_groundwater","121-34_ cutter unscented insect repellent (supdat)","Pesticides","insect repellent - skin",NA,NA,"SKINPROTECTING","other-environmental",NA,"products for repelling insects from skin",4
"DTXSID2021995","usgs_groundwater","121-34_ cutter unscented insect repellent (supdat)","Pesticides","insect repellent - skin",NA,NA,"SKINPROTECTING","surface water",NA,"products for repelling insects from skin",18
"DTXSID2021995","usgs_groundwater","121-45 cutter insect repellent-tick repellent formula mmii","Pesticides","insect repellent - skin",NA,NA,"active ingredient","drinking water",NA,"products for repelling insects from skin",14
"DTXSID2021995","usgs_groundwater","121-45 cutter insect repellent-tick repellent formula mmii","Pesticides","insect repellent - skin",NA,NA,"active ingredient","groundwater",NA,"products for repelling insects from skin",88
